CLUSTER,n_eventos,lat_centroide,lon_centroide,prof_centroide,mag_max
0,3785,-7.652712206076618,-75.6549450990753,137.18203434610305,8.0
1,8269,-14.122329241746282,-74.91058229531987,40.3456282500907,5.6
2,7169,-6.936136155670247,-79.26331689217464,39.92662853954526,7.8
3,4923,-16.147344424131628,-72.02066418850293,100.33434897420273,8.4
4,143,-9.217405594405594,-71.2352090909091,599.6993006993007,7.8
